date,day,active_services,Number_of_Active_services,Number_of_Active_Trips,category
2024-11-08,friday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:107099', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:293984', '561-gen:308437', '561-gen:341906', '561-gen:348904', '561-gen:663806', '561-gen:797839']",13,7872,3
2024-11-09,saturday,"['561-S2_83611-0000010-0', '561-gen:144117', '561-gen:373328']",3,4596,26
2024-11-10,sunday,"['561-S2_83612-0000001-0', '561-gen:144117', '561-gen:299671', '561-gen:616109']",4,3559,28
2024-11-11,monday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:107099', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:293984', '561-gen:341906', '561-gen:348904', '561-gen:663806', '561-gen:797839']",12,7864,5
2024-11-12,tuesday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:107099', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:293984', '561-gen:341906', '561-gen:348904', '561-gen:663806']",11,7862,4
2024-11-13,wednesday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:107099', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:293984', '561-gen:341906', '561-gen:348904', '561-gen:663806']",11,7862,4
2024-11-14,thursday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:107099', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:293984', '561-gen:341906', '561-gen:348904', '561-gen:663806', '561-gen:916525']",12,7864,6
2024-11-15,friday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:107099', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:293984', '561-gen:308437', '561-gen:341906', '561-gen:348904', '561-gen:663806', '561-gen:797839']",13,7872,3
2024-11-16,saturday,"['561-S2_83611-0000010-0', '561-gen:144117', '561-gen:373328']",3,4596,26
2024-11-17,sunday,"['561-S2_83612-0000001-0', '561-gen:144117', '561-gen:299671', '561-gen:616109']",4,3559,28
2024-11-18,monday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:107099', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:293984', '561-gen:341906', '561-gen:348904', '561-gen:663806', '561-gen:797839']",12,7864,5
2024-11-19,tuesday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:107099', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:293984', '561-gen:341906', '561-gen:348904', '561-gen:663806']",11,7862,4
2024-11-20,wednesday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:107099', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:293984', '561-gen:341906', '561-gen:348904', '561-gen:663806']",11,7862,4
2024-11-21,thursday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:107099', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:293984', '561-gen:341906', '561-gen:348904', '561-gen:663806', '561-gen:916525']",12,7864,6
2024-11-22,friday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:107099', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:293984', '561-gen:308437', '561-gen:341906', '561-gen:348904', '561-gen:663806', '561-gen:797839']",13,7872,3
2024-11-23,saturday,"['561-S2_83611-0000010-0', '561-gen:144117', '561-gen:373328']",3,4596,26
2024-11-24,sunday,"['561-S2_83612-0000001-0', '561-gen:144117', '561-gen:299671', '561-gen:616109']",4,3559,28
2024-11-25,monday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:107099', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:293984', '561-gen:341906', '561-gen:348904', '561-gen:663806', '561-gen:797839']",12,7864,5
2024-11-26,tuesday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:107099', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:293984', '561-gen:341906', '561-gen:348904', '561-gen:663806']",11,7862,4
2024-11-27,wednesday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:107099', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:293984', '561-gen:341906', '561-gen:348904', '561-gen:663806']",11,7862,4
2024-11-28,thursday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:107099', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:293984', '561-gen:341906', '561-gen:348904', '561-gen:663806', '561-gen:916525']",12,7864,6
2024-11-29,friday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:107099', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:293984', '561-gen:308437', '561-gen:341906', '561-gen:348904', '561-gen:663806', '561-gen:797839']",13,7872,3
2024-11-30,saturday,"['561-S2_83611-0000010-0', '561-gen:144117', '561-gen:373328']",3,4596,26
2024-12-01,sunday,"['561-S2_83612-0000001-0', '561-gen:144117', '561-gen:299671', '561-gen:616109']",4,3559,28
2024-12-02,monday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:107099', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:293984', '561-gen:341906', '561-gen:348904', '561-gen:663806', '561-gen:797839']",12,7864,5
2024-12-03,tuesday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:107099', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:293984', '561-gen:341906', '561-gen:348904', '561-gen:663806']",11,7862,4
2024-12-04,wednesday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:107099', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:293984', '561-gen:341906', '561-gen:348904', '561-gen:663806']",11,7862,4
2024-12-05,thursday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:107099', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:293984', '561-gen:341906', '561-gen:348904', '561-gen:663806', '561-gen:916525']",12,7864,6
2024-12-06,friday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:107099', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:293984', '561-gen:308437', '561-gen:341906', '561-gen:348904', '561-gen:663806', '561-gen:797839']",13,7872,3
2024-12-07,saturday,"['561-S2_83611-0000010-0', '561-gen:144117', '561-gen:373328']",3,4596,26
2024-12-08,sunday,"['561-S2_83612-0000001-0', '561-gen:144117', '561-gen:299671', '561-gen:616109']",4,3559,28
2024-12-09,monday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:107099', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:341906', '561-gen:348904', '561-gen:663806', '561-gen:797839']",11,7774,9
2024-12-10,tuesday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:107099', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:341906', '561-gen:348904', '561-gen:663806']",10,7772,8
2024-12-11,wednesday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:107099', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:341906', '561-gen:348904', '561-gen:663806']",10,7772,8
2024-12-12,thursday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:107099', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:341906', '561-gen:348904', '561-gen:663806', '561-gen:916525']",11,7774,10
2024-12-13,friday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:107099', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:308437', '561-gen:341906', '561-gen:348904', '561-gen:663806', '561-gen:797839']",12,7782,7
2024-12-14,saturday,"['561-S2_83611-0000010-0', '561-gen:144117', '561-gen:373328', '561-a59f8b92b0b3eaf1']",4,4605,27
2024-12-15,sunday,"['561-S2_83612-0000001-0', '561-gen:144117', '561-gen:299671', '561-gen:616109']",4,3559,28
2024-12-16,monday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:107099', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:341906', '561-gen:348904', '561-gen:797839']",10,7699,11
2024-12-17,tuesday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:341906', '561-gen:348904']",8,7679,18
2024-12-18,wednesday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:341906', '561-gen:348904']",8,7679,18
2024-12-19,thursday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:341906', '561-gen:348904', '561-gen:916525']",9,7681,19
2024-12-20,friday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:308437', '561-gen:341906', '561-gen:797839']",9,7688,17
2024-12-21,saturday,"['561-S2_83611-0000010-0', '561-gen:144117', '561-gen:373328']",3,4596,26
2024-12-22,sunday,"['561-S2_83612-0000001-0', '561-gen:144117', '561-gen:299671', '561-gen:616109']",4,3559,28
2024-12-23,monday,"['561-S2_83610-1111100-0', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:341906', '561-gen:797839']",6,7678,23
2024-12-24,tuesday,"['561-S2_83610-1111100-0', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:341906']",5,7676,22
2024-12-25,wednesday,"['561-S2_83175-0000001-0', '561-S2_83632-0000001-0', '561-gen:144117', '561-gen:271096', '561-gen:616109']",5,3320,2
2024-12-26,thursday,"['561-S2_83610-1111100-0', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:341906', '561-gen:916525']",6,7678,24
2024-12-27,friday,"['561-S2_83610-1111100-0', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:308437', '561-gen:341906', '561-gen:797839']",7,7686,21
2024-12-28,saturday,"['561-S2_83611-0000010-0', '561-gen:144117', '561-gen:373328']",3,4596,26
2024-12-29,sunday,"['561-S2_83612-0000001-0', '561-gen:144117', '561-gen:299671', '561-gen:616109']",4,3559,28
2024-12-30,monday,"['561-S2_83610-1111100-0', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:341906', '561-gen:797839']",6,7678,23
2024-12-31,tuesday,"['561-S2_83610-1111100-0', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:341906']",5,7676,22
2025-01-01,wednesday,"['561-S2_83175-0000001-0', '561-S2_83612-0000001-0', '561-gen:144117', '561-gen:271096', '561-gen:616109', '561-a59f8b92b0b3eaf1']",6,3568,1
2025-01-02,thursday,"['561-S2_83610-1111100-0', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:341906', '561-gen:916525']",6,7678,24
2025-01-03,friday,"['561-S2_83610-1111100-0', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:308437', '561-gen:341906', '561-gen:797839']",7,7686,21
2025-01-04,saturday,"['561-S2_83611-0000010-0', '561-gen:144117', '561-gen:373328']",3,4596,26
2025-01-05,sunday,"['561-S2_83612-0000001-0', '561-gen:144117', '561-gen:299671', '561-gen:616109']",4,3559,28
2025-01-06,monday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:293984', '561-gen:341906', '561-gen:797839']",8,7769,20
2025-01-07,tuesday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:293984', '561-gen:341906']",8,7768,13
2025-01-08,wednesday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:293984', '561-gen:341906', '561-gen:348904']",9,7769,14
2025-01-09,thursday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:293984', '561-gen:341906', '561-gen:348904', '561-gen:916525']",10,7771,16
2025-01-10,friday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:293984', '561-gen:308437', '561-gen:341906', '561-gen:348904', '561-gen:797839']",11,7779,12
2025-01-11,saturday,"['561-S2_83611-0000010-0', '561-gen:144117', '561-gen:373328']",3,4596,26
2025-01-12,sunday,"['561-S2_83612-0000001-0', '561-gen:144117', '561-gen:299671', '561-gen:616109']",4,3559,28
2025-01-13,monday,"['561-S2_83610-1111100-0', '561-S2_8361059-1111100-59', '561-gen:144117', '561-gen:215356', '561-gen:271096', '561-gen:281939', '561-gen:293984', '561-gen:341906', '561-gen:348904', '561-gen:797839']",10,7771,15
